"","Player","Team","RPM","PER"
"1","Paul George","OKC",7.63,23.32
"2","James Harden","HOU",7.42,30.62
"3","Stephen Curry ","GS",6.84,24.45
"4","Giannis Antetokounmpo","MIL",6.69,30.95
"5","Nikola Jokic","DEN",6.48,26.38
"6","Joel Embiid","PHI",6.4,26.21
"7","Anthony Davis","NO",5.74,30.32
"8","Nikola Vucevic","ORL",5.49,25.53
"9","Leborn James","LAL",5.44,25.64
"10","Damian Lillard","POR",5.08,23.78
"11","Kevin Durant","GS",4.96,24.26
"12","Chris Paul","HOU",4.76,19.71
"13","Danny Green ","TOR",4.73,13.02
"14","Jimmy Butler ","MIN/PHI",4.71,20.29
"15","Kyle Lowry","TOR",4.65,16.51
"16","Rudy Golbert","UTAH",4.64,24.6
"17","Jrue Holiday","NO",4.61,19.43
"18","Al Horford","BOS",4.43,20.21
"19","Paul Milsap","DEN",4.31,17.95
"20","Kyrie Irving","BOS",4.23,24.37
"21","Jusuf Nurkic","POR",4.16,23.41
"22","Brook Lopez","MIL",4.07,14.59
"23","Karl Anthony Towns","MIN",3.86,26.38
"24","Pascal Siakam","TOR",3.8,18.74
"25","Eric Bledsoe","MIL",3.77,19.31
"26","Danilo Gallinari","LAC",3.58,21.02
"27","Kevon looney ","GS",3.48,17.38
"28","Draymund Green","GS",3.4,12.88
"29","Marc Gasol ","TOR/MEM",3.37,16.69
"30","Mike Conley","MEM",3.27,21.46
"31","Kawhi Leonard","TOR",3.26,25.89
"32","Blake Griffin ","DET",3.01,21.02
"33","Joe Ingles","UTAH",2.91,13.46
"34","Davis Bertans","SA",2.89,13
"35","Kemba Walker","CHA",2.76,21.72
"36","Patrick Beverley","LAC",2.71,11.79
"37","Robert Covington","MIN/PHI",2.71,13.36
"38","Ed Davis","BKN",2.69,17.28
"39","DeMarcus Cousins","GS",2.68,21.44
"40","Derrick Favors","UTAH",2.59,21.89
"41","Andre Iguodala","GS",2.51,13.12
"42","Russell Westbrook","OKC",2.51,21.14
"43","Andre Drummond","DET",2.34,23.49
"44","Dwight Powell","DAL",2.31,20.45
"45","Marcus Smart","BOS",2.25,13.12
"46","Rudy Gay","SA",2.22,17.54
"47","Victor Oladipo","IND",2.22,17.68
"48","Kelly Olynyk","MIA",2.08,14.4
"49","Justice Winslow","MIA",2.05,12.83
"50","George Hill","CLE/MIL",2.04,12.14
"51","Malcom Brogdon","MIL",2.02,17.84
"52","Donovan Mitchell ","UTAH",2.02,17.26
"53","Derrick White ","SA",1.98,14.85
"54","Thaddeus Young","IND",1.89,16.28
"55","Khris Middleton","MIL",1.89,16.55
